path,contrast_1_0,energy_1_0,homogeneity_1_0,correlation_1_0,contrast_1_90,energy_1_90,homogeneity_1_90,correlation_1_90,contrast_3_0,energy_3_0,homogeneity_3_0,correlation_3_0,contrast_3_90,energy_3_90,homogeneity_3_90,correlation_3_90,contrast_5_0,energy_5_0,homogeneity_5_0,correlation_5_0,contrast_5_90,energy_5_90,homogeneity_5_90,correlation_5_90,contrast_1_45,energy_1_45,homogeneity_1_45,correlation_1_45,contrast_3_45,energy_3_45,homogeneity_3_45,correlation_3_45,contrast_5_45,energy_5_45,homogeneity_5_45,correlation_5_45,label
Dataset/Bacterial Blight/BB_884.jpg,59.37978459320948,0.024436529338001497,0.22522795291958228,0.955770552907878,57.19452674567585,0.02406571525754082,0.21811829510816974,0.9574550748672042,145.6650775694894,0.020211767560667355,0.15165106715264956,0.8909697384821091,142.39816984486103,0.020354424418952726,0.1546013470813273,0.8939990719174475,203.1452014024788,0.019109156810241234,0.1370798719646764,0.8472468625926414,205.37247227658185,0.01952042277457265,0.14334816554679078,0.8471233295652365,90.38653501980734,0.021917204032109828,0.1825198117888574,0.9326029427228131,147.04985390796202,0.020453489194574393,0.1563441225530329,0.8900180299134552,235.794173553719,0.018925946891684843,0.1325282820392697,0.8227355941670614,2
Dataset/Bacterial Blight/BB_885.jpg,87.76587524023061,0.02888929986694379,0.24452971165521828,0.9298495838412811,97.2641335682255,0.02824218648439674,0.23345603623235786,0.922180833581938,182.18584356819653,0.023229607254186605,0.15770822554083272,0.8547163081109009,225.67748060762773,0.023149058372477042,0.1568671197372242,0.8197547202919894,249.2273931833007,0.02184404642573857,0.13934058831920823,0.8017939596198395,309.9977372798434,0.022087564667529005,0.1435093098778307,0.7527174595156394,124.91682921434175,0.025866771712655817,0.2010079742120397,0.9001821217490729,199.42129291453617,0.02344226810110648,0.1625119686803866,0.8409410214188786,325.3137603305785,0.021819830148416777,0.14056356366260966,0.7415809269666078,2
Dataset/Bacterial Blight/BB_886.jpg,160.47865951313258,0.021826976000957787,0.19231763330284407,0.9382872181130194,185.23540598975015,0.020988463115292805,0.1758752831592272,0.9286747275401489,446.8207013574661,0.018524741417617886,0.13462786822605582,0.829100500118648,488.0411885908208,0.018128551057997034,0.13052902242862272,0.8126523253642122,690.7698344748859,0.017625560996873683,0.12160384883271418,0.7372616007125906,708.0996819960861,0.017223927346267553,0.11782607908250893,0.7290048730929499,300.55800438375996,0.01936593948357014,0.1502010708929339,0.8845803746196184,556.094777209642,0.018007561231932062,0.12730222281096304,0.7873381239242317,976.917541322314,0.016637485695390582,0.1091632946827444,0.6296416399236192,2
Dataset/Bacterial Blight/BB_887.jpg,68.22483584240871,0.03357548812454328,0.29430182427632623,0.9566811317875685,82.52570467648943,0.030749226287088607,0.25981469567786075,0.9474941673709714,179.53807773109244,0.026619830900853375,0.19920665792356845,0.8866673004496806,216.95984162895928,0.025712455484110705,0.18415341177958,0.8622110766661186,259.3861505218526,0.025406123435549908,0.1818295632618478,0.8371808735465607,319.9912548923679,0.024544957755935872,0.16738733192400038,0.7971966119084672,97.02559874519899,0.02847881811938892,0.23336024328315713,0.938447654660078,152.68009901793687,0.02611837765773798,0.19604593233282572,0.9035103602025228,236.36692148760332,0.02481117216889417,0.1764854163729616,0.8517780681747281,2
Dataset/Bacterial Blight/BB_888.jpg,27.24091127482383,0.04943627739893134,0.3551330528957032,0.9660320144846058,69.8778627482383,0.039157327741312094,0.26171493561395903,0.9127025444077171,81.17113768584359,0.03612209214195324,0.224154082192643,0.8992587743730072,186.575347446671,0.032310667175979836,0.18535235943362122,0.7671247678363778,120.29880136986301,0.033575675555929045,0.1959353933181543,0.8514027040407519,245.80326565557726,0.030555860607760173,0.16535584204064077,0.6933503651543849,80.32447867441533,0.03699237276322718,0.2363601049869164,0.8998682700023479,147.03297216135053,0.03293483680913651,0.19198254052927627,0.8172249050187573,234.04973140495875,0.0304084785645172,0.16617819358948857,0.7106808884061855,2
Dataset/Bacterial Blight/BB_889.jpg,74.51995916079436,0.03337612901560084,0.26216936300733595,0.9538333551938513,111.3012692184497,0.028590478911692568,0.20553789673349962,0.9307772967297793,218.64219053005817,0.02567194326547984,0.16642349478600488,0.8650253645628118,331.3996848739496,0.023814959374705257,0.143405090338394,0.7928965206199948,340.1916585127201,0.02427077514814412,0.1476623213983964,0.7907461458375404,511.4995107632094,0.022528224084306367,0.1289259239082028,0.6788735491035226,122.40222003257655,0.02716850046803087,0.18797740879333696,0.9240067949660684,213.25543787030273,0.024635916267479022,0.1542398565512613,0.8675746563144145,375.48367768595045,0.023086196623908165,0.13708712954875274,0.7668676599353157,2
Dataset/Bacterial Blight/BB_89.jpg,74.75174167200512,0.03829631228775679,0.2921328823400012,0.9559522977883552,73.30341127482383,0.03633674548685429,0.28102198065313116,0.9567781580806171,232.4545289269554,0.03004384133315,0.19338172349749297,0.8637474795589705,220.47331528765355,0.029869731617883494,0.19800068234361476,0.8705288781974446,375.7129199282453,0.02882071912925757,0.17761477493852879,0.7809726217262349,352.587308382257,0.028751442947993307,0.18126871056459992,0.793794483831443,92.22501960626597,0.03297522246992325,0.23613394879604432,0.9457602994721241,161.01460920379841,0.030061655684025686,0.1990248243164095,0.9057348174639687,292.21140495867775,0.02875844919394961,0.17725946071856447,0.8305500112019336,2
Dataset/Bacterial Blight/BB_891.jpg,61.35886450992953,0.028120792428991515,0.26938854310368826,0.9719617154268567,61.41942264573992,0.028046014094511393,0.2759886571288423,0.9722001877585871,219.01062540400775,0.022885858221774677,0.1709409797661238,0.8978572530386207,199.35453700711054,0.022930972777870543,0.18683099887502022,0.9095789239936101,326.06649543379007,0.021828822593372384,0.14631315650757984,0.8450785694501933,295.3677226027397,0.02163979096522001,0.16601917443417172,0.8658171212488209,85.59054073076072,0.025530591146516235,0.22650736948960074,0.9608439397964876,161.00616833049267,0.02366544920184145,0.18641822291972784,0.9254814632017325,268.04838842975204,0.022180264499232754,0.15807202926694375,0.8732074677854599,2
Dataset/Bacterial Blight/BB_894.jpg,106.15062459961565,0.020524214944995376,0.16870883270740294,0.9429527199198862,108.86925448430495,0.02040610501176341,0.16501763727815272,0.9413880952304341,275.23753636069813,0.018403268422164356,0.12480211168007037,0.8526976335144915,256.47953700711054,0.018267261102901836,0.12074428200344373,0.8622429936170309,423.3154354207437,0.017895799682707922,0.11285742806305075,0.7744433066701261,363.0681466079582,0.017864233102503693,0.11311856698261902,0.8056199697074424,173.56230770777617,0.01890979285076454,0.13563761681448658,0.9067556712788545,297.63767145523906,0.01823517002934009,0.12155777185186381,0.8406035970399443,526.91173553719,0.017435874393514152,0.10680772724535124,0.7199259497967871,2
Dataset/Bacterial Blight/BB_895.jpg,64.6088044522742,0.030807209658203823,0.27899886909641,0.9533531966200606,60.60043641896222,0.030456676684963723,0.2727461737756752,0.9563881642043481,209.60789027149326,0.02504468492515941,0.18983698425063936,0.8484287222342319,188.4660027472528,0.025213458632165144,0.19212186730382022,0.8650719802578047,331.5618272994129,0.02384040831796042,0.1704818655000705,0.7598701593139514,293.3291544357469,0.02406030006477971,0.17551935481657963,0.7910885649992,116.35685414949023,0.02709775851926848,0.22108492059770066,0.9161957979024766,231.7467738008279,0.024829354591784147,0.18513388462026897,0.8333936537253861,437.678347107438,0.0231872590512538,0.164055344341321,0.6865149495589612,2
